"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",가문동포구,제주특별자치도 제주시 애월읍 하귀2리 2729-1,제주특별자치도 제주시 애월읍 하귀2리 2729-1,N,1,1,0,0,0,0,2,0,0,제주시 애월읍,064-728-8848,24시간,,33.48673416,126.3924127,2018-08-17
"공중화장실",감수탕,제주특별자치도 제주시 감수북길 41,,N,1,2,0,0,0,0,2,0,0,제주시 삼양동,064-728-8177,24시간,,33.52566485,126.5840314,2018-08-17
"공중화장실",검멀레,제주특별자치도 제주시 우도면 우도해안길 1142,,N,3,4,0,0,0,0,3,0,0,제주시 우도면,064-728-4342,24시간,,33.49811179,126.9666304,2018-08-17
"공중화장실",검멀레 주차장,제주특별자치도 제주시 우도면 우도해안길 1122,,N,1,2,0,0,0,0,3,0,0,제주시 우도면,064-728-4342,24시간,,33.497541,126.9684667,2018-08-17
"공중화장실",고내봉산책로,제주특별자치도 제주시 애월읍 고하상로 78-5,,N,1,1,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.4578799,126.3447592,2018-08-17
"공중화장실",고산수월봉,제주특별자치도 제주시 한경면 고산리 3758-2,제주특별자치도 제주시 한경면 고산리 3758-2,N,2,3,1,1,1,0,5,1,1,제주시 한경면,064-728-7952,24시간,,33.29450035,126.1637155,2018-08-17
"공중화장실",고산엉알,제주특별자치도 제주시 한경면 고산리 3653-3,제주특별자치도 제주시 한경면 고산리 3653-3,N,1,1,0,0,0,0,2,0,0,제주시 한경면,064-728-7952,24시간,,33.30317952,126.1659816,2018-08-17
"공중화장실",공항입구주차장,제주특별자치도 제주시 다호북길 7,제주특별자치도 제주시 애월읍 곽지리 1565-20,N,1,4,0,0,0,0,2,0,0,제주시 차량관리과,064-728-3246,연중무휴,,33.50368126,126.4957122,2018-08-17
"공중화장실",곽지과물해변통시,제주특별자치도 제주시 애월읍 곽지리 1565,제주특별자치도 제주시 애월읍 곽지리 1565,N,2,5,1,1,0,1,7,1,1,제주시 애월읍,064-728-8848,24시간,,33.45076506,126.3045746,2018-08-17
"공중화장실",곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1566,제주특별자치도 제주시 애월읍 곽지리 1566,N,5,8,1,1,0,0,8,1,0,제주시 애월읍,064-728-8848,24시간,,33.44995643,126.3041171,2018-08-17
"공중화장실",곽지해수욕장서측주차장,제주특별자치도 제주시 애월읍 곽지리 1566,제주특별자치도 제주시 애월읍 곽지리 1566,N,1,0,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.44995643,126.3041171,2018-08-17
"공중화장실",관음사신비의도로,제주특별자치도 제주시 산록북로 811,,N,2,2,1,1,0,0,3,1,0,제주시 관광진흥과,064-728-2763,24시간,,33.48295235,126.4719591,2018-08-17
"공중화장실",광령저수지 남쪽,제주특별자치도 제주시 애월읍 광령리 3602-2,제주특별자치도 제주시 애월읍 광령리 3602-2,N,1,0,0,0,0,0,1,0,0,제주시 애월읍,064-728-8848,24시간,,33.4700452,126.4260684,2018-08-17
"공중화장실",교래마을운동장,제주특별자치도 제주시 조천읍 교래리 188,제주특별자치도 제주시 조천읍 교래리 188,N,1,1,0,0,0,0,2,0,0,제주시 조천읍,064-728-7863,24시간,,33.42289933,126.6752855,2018-08-17
"공중화장실",구좌공설묘지,제주특별자치도 제주시 구좌읍 송당리 54-1,제주특별자치도 제주시 구좌읍 송당리 54-1,N,1,1,0,0,0,0,2,0,0,제주시 구좌읍,064-728-7745,24시간,,33.45508148,126.7979111,2018-08-17
